date tair sr
2015-01-01 -5.33050611827412 71.4207580210686
2015-01-31 -9.51620970321187 86.9859693366375
2015-03-02 -10.7080840403757 135.479450223853
2015-04-01 -4.03629398081574 173.579185622008
2015-05-01 -3.00371883359293 208.742739467493
2015-05-31 2.64909971539055 250.545160175861
2015-06-30 7.32139320537724 294.16323861064
2015-07-30 8.33840424687827 307.963885413407
2015-08-29 7.14469123253794 233.644620906555
2015-09-28 4.11240912653089 167.529786900398
2015-10-28 -3.46997110268009 112.55757130443
2015-11-27 -5.93335536243193 77.9027329610568
2015-12-27 -5.32421800648659 71.7267501117228
