date tair sr
2015-01-01 -5.33050611827412 71.4207580210686
2015-01-08 -10.7419250932819 75.8712250348725
2015-01-15 -4.23825289486863 69.1040540691065
2015-01-22 -6.93885706216768 81.6520187831925
2015-01-29 -8.36633158142322 85.6305679398725
2015-02-05 -6.85493428089247 103.200710670292
2015-02-12 -7.35752162887947 99.7859800774509
2015-02-19 -5.44958575881334 113.170321437831
2015-02-26 -10.8718501487226 126.513635609326
2015-03-05 -7.66309113994796 118.508281954322
2015-03-12 -6.92118149609078 150.993468451298
2015-03-19 -4.28152120600981 175.496267092571
2015-03-26 -2.07852778105253 183.224722822468
2015-04-02 -3.26436868938721 188.276485370183
2015-04-09 -3.2427743539614 162.820423267692
2015-04-16 -4.20127571820127 219.554665448609
2015-04-23 -2.55641828119458 231.1596260723
2015-04-30 -1.87760223925412 214.445561425495
2015-05-07 -1.68751195242525 204.492411072378
2015-05-14 -2.74328330713906 226.91985577876
2015-05-21 2.43749134282184 235.08641962907
2015-05-28 1.71024518818571 264.377488011073
2015-06-04 1.99054154556232 265.762396865293
2015-06-11 2.23426286738089 258.57757267
2015-06-18 6.68253393748531 273.666342483626
2015-06-25 4.62886106235785 260.374022186881
2015-07-02 8.50545580880183 316.415149129003
2015-07-09 7.88980522932819 294.33248293789
2015-07-16 5.41062868491696 302.465393683457
2015-07-23 11.7280265442636 294.572560460728
2015-07-30 8.33840424687827 307.963885413407
2015-08-06 8.70745964652268 287.83067106482
2015-08-13 6.49168186605711 257.96985747384
2015-08-20 10.4073309760576 256.600318377444
2015-08-27 8.30101857645137 242.543022952593
2015-09-03 6.81715359111967 232.523445384656
2015-09-10 6.06635571152397 230.021055586919
2015-09-17 3.82590507579977 206.733821815956
2015-09-24 5.34795049422305 197.196141830272
2015-10-01 0.398584140645421 165.440497354736
2015-10-08 4.26441058603035 154.713847122814
2015-10-15 4.77110086439374 135.452171686737
2015-10-22 2.47371607154234 127.829607047415
2015-10-29 -5.25014718584809 113.140751144434
2015-11-05 -0.255334650020996 114.314493469922
2015-11-12 -4.07666635358745 96.3389802445384
2015-11-19 -2.13954942681837 83.1632387549146
2015-11-26 -6.44063700270719 90.2197998347518
2015-12-03 -7.13825376169363 80.0227835556021
2015-12-10 -3.84861443119539 70.6164637115964
2015-12-17 -5.15307422675226 69.3821103470773
2015-12-24 -5.52688585194643 67.6049191355489
2015-12-31 -5.32627124395189 67.6253583097682
