date tair sr
2015-01-01 -5.33050611827412 71.4207580210686
2015-01-02 -4.60164477358152 71.5241748509779
2015-01-03 -5.89963424289161 72.1985317055494
2015-01-04 -8.47209491079231 69.3950388816305
2015-01-05 -8.97511314378834 73.1379426429261
2015-01-06 -9.1968906347554 73.1194679539076
2015-01-07 -8.93601229784451 73.0702951337211
2015-01-08 -10.7419250932819 75.8712250348725
2015-01-09 -10.4391928057944 74.2713273956341
2015-01-10 -10.0611815877925 78.6508458433465
2015-01-11 -8.99732863859678 78.5748145329649
2015-01-12 -7.3409555374584 71.7137900284914
2015-01-13 -5.99326242203619 74.7094210644982
2015-01-14 -4.56014980675439 69.4968369286189
2015-01-15 -4.23825289486863 69.1040540691065
2015-01-16 -4.36388497914694 70.7644868329652
2015-01-17 -3.51377803449217 67.4665187147365
2015-01-18 -4.03140488050231 78.1058370169543
2015-01-19 -4.06263205329677 77.1237632985796
2015-01-20 -5.75632758056242 76.1155393362046
2015-01-21 -7.62840661875363 74.6944173083314
2015-01-22 -6.93885706216768 81.6520187831925
2015-01-23 -6.65485880281649 85.819885110017
2015-01-24 -7.09606331610358 79.7673957014952
2015-01-25 -7.62534815194083 81.7656550456776
2015-01-26 -7.4978357711521 81.6026930044838
2015-01-27 -8.28568004545735 85.9479409472596
2015-01-28 -9.2884038050558 90.8013766886493
2015-01-29 -8.36633158142322 85.6305679398725
2015-01-30 -8.98527543933578 82.621606755819
2015-01-31 -9.51620970321187 86.9859693366375
2015-02-01 -9.93490586095886 80.0161202127712
2015-02-02 -8.3143869007954 90.9355526426368
2015-02-03 -6.05395645466612 90.1770830075384
2015-02-04 -7.8663697979621 94.4351905074366
2015-02-05 -6.85493428089247 103.200710670292
2015-02-06 -5.931759718145 100.472571840077
2015-02-07 -7.21954858725138 90.4609174136839
2015-02-08 -9.12989464929462 98.8188390793513
2015-02-09 -8.42299391189927 104.407390401921
2015-02-10 -8.65483915750455 106.799935199557
2015-02-11 -7.31965514385675 107.60326314385
2015-02-12 -7.35752162887947 99.7859800774509
2015-02-13 -6.87997122776086 105.524471342476
2015-02-14 -6.59592688405737 108.737732673248
2015-02-15 -7.6178093134383 107.364571017228
2015-02-16 -8.00114101200619 102.121446958464
2015-02-17 -7.52141423482307 108.923195243607
2015-02-18 -7.28391012899722 110.856956182716
2015-02-19 -5.44958575881334 113.170321437831
2015-02-20 -6.95978574972454 122.982600335061
2015-02-21 -8.57865036091271 113.059248321072
2015-02-22 -7.09118302223478 123.104935862499
2015-02-23 -7.88810265743574 123.843742934568
2015-02-24 -8.07338041839719 121.398850017518
2015-02-25 -9.19589252526292 125.448886158669
2015-02-26 -10.8718501487226 126.513635609326
2015-02-27 -11.5491451416763 122.232636828162
2015-02-28 -11.3896917068492 137.081020795867
2015-03-01 -10.5406462870582 129.205124614868
2015-03-02 -10.7080840403757 135.479450223853
2015-03-03 -10.3587173081197 135.864013611251
2015-03-04 -9.63860494893974 123.825368171497
2015-03-05 -7.66309113994796 118.508281954322
2015-03-06 -7.4483992643514 131.912445267882
2015-03-07 -9.2966991183863 147.085694743007
2015-03-08 -9.84490934388975 141.141014274614
2015-03-09 -8.12981861204263 139.150594338337
2015-03-10 -8.01359496221644 137.044936328758
2015-03-11 -8.40652706483827 136.888225966283
2015-03-12 -6.92118149609078 150.993468451298
2015-03-13 -6.48560774992516 146.863587585121
2015-03-14 -6.02213655319297 134.113943051518
2015-03-15 -5.21152562945128 149.406399352977
2015-03-16 -4.2264152962224 166.500189632357
2015-03-17 -2.94653039780108 168.236652274752
2015-03-18 -1.81080779493982 168.943058008818
2015-03-19 -4.28152120600981 175.496267092571
2015-03-20 -4.72736572379753 166.919803687614
2015-03-21 -5.06851731355658 176.362157255719
2015-03-22 -3.91356350998637 163.45513691987
2015-03-23 -2.13142860534073 174.33860938237
2015-03-24 -0.751919964843413 178.421136269663
2015-03-25 -1.57624069215613 167.430322250768
2015-03-26 -2.07852778105253 183.224722822468
2015-03-27 -1.86341042376799 170.176064209089
